1376117.2240,652750.7320,321.7970
1376124.9825,652755.1620,320.6865
1376117.4160,652768.1530,320.8210
1376109.2170,652761.9630,321.6590
1376101.6220,652776.1275,321.5870
1376109.8160,652781.2130,320.5570
1376257.5610,652718.8580,313.6970
1376261.3910,652729.6920,313.0480
1376251.9240,652743.9190,312.9670
1376247.8330,652733.6210,313.6240
1376242.8920,652723.0350,314.2390
1376266.5135,652739.9380,312.7178
1376546.4910,652637.6210,328.2500
1376535.2830,652644.7700,325.6740
1376553.5530,652647.0850,327.8640
1376559.7160,652657.7690,326.4165
1376550.2325,652665.4410,325.6745
1376542.8870,652654.8820,325.8270
1376596.2130,652579.8030,341.1850
1376596.1030,652577.7150,350.5815
1376597.2757,652579.1803,332.0870
1376606.4850,652570.5660,352.8660
1376606.5480,652570.8770,332.8850
1376606.5400,652570.4270,342.7880
