176392.280,292789.068,260.9788,315040.7491,-17.2833,-22.7309,0.8558,5.1291,-4.1842,231.7065,260.9788,460000
175097.027,292815.044,262.9785,315090.7001,-26.2366,6.1940,0.1390,-0.1811,0.2431,284.1017,262.9785,470000
173957.615,292891.639,280.4725,315140.6512,-17.3516,-8.0759,0.9456,-5.5938,-0.3129,240.6854,280.4725,480000
174413.276,292665.204,278.2257,315190.6021,24.6743,8.5771,-1.4201,-0.0765,-1.2004,87.6787,278.2257,490000
175770.182,292596.410,264.3002,315240.5531,28.2412,-3.1803,0.1633,0.9421,-0.1105,102.8904,264.3002,500000
175701.991,292461.621,265.7016,315290.5041,-19.0460,2.7093,1.8261,0.3997,-0.0256,283.1990,265.7016,510000
174577.786,292694.810,272.4864,315340.4551,-23.8922,8.2696,-1.4626,0.3379,-0.6283,286.5226,272.4864,520000
175197.587,292450.970,261.5455,315390.4061,27.2794,-3.7012,0.4962,1.4191,-1.6837,101.3211,261.5455,530000
176033.413,292126.756,257.3729,315440.3571,-20.8582,9.2411,-0.1396,2.7547,-2.5660,291.0161,257.3729,540000
174768.825,292437.192,260.0603,315490.3080,-28.2193,6.0368,-0.5868,-1.5028,-1.5737,281.2583,260.0603,550000
173585.083,292183.025,253.2196,315540.2590,-16.5398,-19.9420,0.0811,0.2012,-1.2152,218.7816,253.2196,560000
173061.717,290945.012,281.8815,315590.2100,3.4707,-35.1375,-0.2162,-4.5481,-4.1067,180.5574,281.8815,570000
173374.517,291168.468,279.9122,315640.1610,-30.0017,19.2473,0.0631,-0.7620,-3.2168,299.5365,279.9122,580000
172581.978,292145.942,297.8141,315690.1119,33.3871,-8.9244,-3.4377,24.7700,-7.3701,116.2672,297.8141,590000
173153.980,290658.277,283.8485,315740.0629,6.8916,-33.0228,0.0390,2.2514,-3.4871,167.6656,283.8485,600000
