X,Y,ELEVATION,TIME
2099110.349,1554862.473,325.5209,493236.9848
2098820.155,1554709.898,327.0175,493247.0963
2098530.458,1554556.565,329.7033,493257.0944
2098238.766,1554406.903,331.8829,493267.1343
2097951.695,1554250.722,333.7888,493277.1211
2097973.904,1553950.872,336.5973,493287.7769
2098274.954,1554008.627,336.5731,493302.8481
2098553.273,1554181.933,336.558,493317.2605
2098826.525,1554362.815,336.6691,493331.3567
2099107.973,1554531.135,337.2972,493345.6082
2099360.682,1554736.88,337.0211,493360.1103
2099487.686,1555033.624,337.4801,493374.9052
2099559.648,1555353.436,336.3514,493389.1677
2099623.431,1555674.807,336.3593,493403.5792
2099692.235,1555995.189,337.3934,493417.8907
2099883.399,1556250.526,336.8701,493431.829
2100166.593,1556415.167,337.7675,493446.5206
2100444.758,1556588.275,336.8586,493460.4637
2100593.159,1556477.924,339.1487,493474.4618
2100678.828,1556305.814,336.3635,493489.0616
2100602.184,1556603.833,337.0443,493503.7268
2100420.794,1556876.728,336.5606,493518.1936
2100250.292,1556743.0,336.6118,493531.8197
2100404.941,1556454.967,335.9042,493545.6842
2100576.138,1556608.871,338.2757,493560.8961
2100366.356,1556822.237,337.0614,493575.2247
2100067.555,1556688.668,337.3911,493589.5403
2099779.191,1556532.706,336.9128,493603.8281
2099529.059,1556323.179,336.2257,493617.9805
2099411.19,1556021.762,337.4584,493632.0015
2099342.594,1555701.785,336.3828,493646.3229
2099270.807,1555381.944,336.4366,493660.6116
2099200.804,1555061.592,335.4096,493674.8739
2098987.215,1554829.831,338.7105,493689.1761
2098695.342,1554681.739,337.6428,493703.5807
2098405.829,1554529.019,338.8425,493717.9274
2098118.064,1554372.821,337.255,493732.3371
2098013.07,1554116.106,337.4077,493745.9436
2098297.802,1554083.837,335.1136,493758.4639
2098598.404,1554214.696,332.6519,493768.5319
2098899.831,1554343.674,329.5381,493778.5523
2099202.447,1554469.688,325.8854,493788.4968
2099503.104,1554588.196,320.7389,493808.6712
2099518.299,1554588.46,260.5369,493863.8413
2099960.307,1553183.723,281.0219,502394.5038
2099858.657,1553323.312,297.6343,502407.5272
2100124.441,1553232.172,314.2039,502420.4133
2099866.446,1553156.021,328.6471,502432.7061
2099599.636,1552982.899,331.5204,502443.4377
2099481.795,1552684.705,328.644,502454.7654
2099292.093,1552434.483,328.7286,502464.9033
2098971.342,1552489.347,332.9525,502475.1211
2098711.479,1552342.894,338.4783,502485.6403
2098849.904,1552060.115,332.4334,502499.2557
2099073.351,1551820.024,332.6169,502513.4968
2099295.685,1551578.977,333.6936,502527.5759
2099467.214,1551305.82,333.7192,502542.0366
2099479.275,1550978.343,334.4544,502556.6034
2099478.162,1550650.342,333.9007,502570.7908
2099478.793,1550322.533,335.2358,502585.2604
2099476.774,1549994.61,334.5818,502599.5586
2099322.55,1549765.222,335.9271,502613.706
2099143.674,1549979.138,335.4249,502626.291
2099212.825,1550277.242,333.5716,502638.7496
2099537.629,1550303.974,334.1914,502652.2142
2099865.345,1550302.325,338.4755,502666.428
2100192.788,1550302.133,344.3531,502680.8086
2100520.266,1550303.063,350.1984,502695.0653
2100847.82,1550301.927,355.6214,502709.3016
2101175.445,1550300.533,360.5925,502723.636
2101503.114,1550299.099,364.6701,502737.9295
2101830.857,1550292.905,360.9268,502752.2428
2102158.71,1550288.089,357.9067,502766.5037
2102486.426,1550282.755,353.9563,502780.8095
2102814.218,1550276.795,350.8282,502794.916
2103141.859,1550272.156,347.5655,502809.1019
2103220.822,1550024.17,348.561,502823.4468
2102900.549,1549979.668,349.7761,502838.1643
2102572.902,1549988.809,352.1331,502852.7077
2102245.111,1549993.358,354.6528,502867.1188
2101918.175,1550001.662,359.1252,502881.2197
2101590.803,1550010.304,361.4188,502895.7857
2101263.431,1550012.584,365.4998,502910.1775
2100935.71,1550013.503,365.6269,502924.3639
2100608.648,1550013.519,360.0316,502938.7134
2100281.066,1550015.033,357.4131,502953.1151
2099953.314,1550011.348,355.1524,502967.4125
2099627.321,1550015.857,348.9624,502981.6888
2099306.392,1549984.384,349.3246,502996.0228
2099444.254,1549789.328,346.9543,503007.5819
2099741.901,1549870.526,345.7189,503020.925
2099775.84,1550193.772,345.477,503035.9867
2099782.131,1550521.053,340.6469,503049.7996
2099767.562,1550848.408,337.9171,503064.3389
2099770.059,1551175.775,335.71,503078.8263
2099688.072,1551489.894,332.8125,503093.2054
2099496.482,1551752.557,331.7983,503107.5613
2099275.551,1551994.145,335.1302,503121.8632
2099049.772,1552231.526,334.0207,503136.3018
2098834.994,1552478.809,332.1325,503150.6758
2098605.89,1552712.386,330.2089,503165.0309
2098497.752,1553009.402,333.6174,503179.3214
2098499.673,1553336.973,332.5376,503193.6399
2098509.576,1553664.193,332.1889,503207.9892
2098513.069,1553991.949,334.8927,503222.2872
2098525.426,1554319.348,333.1627,503236.339
2098507.911,1554637.707,331.2571,503251.0439
2098242.282,1554578.561,334.8414,503264.9371
2098219.384,1554252.69,332.2841,503279.1613
2098212.92,1553925.67,332.5112,503293.1271
2098208.066,1553598.217,333.4926,503307.5211
2098205.962,1553270.442,333.4586,503321.8762
2098201.629,1552942.714,330.6896,503336.2418
2098294.002,1552635.336,332.9039,503350.0138
2098515.199,1552395.374,332.3512,503364.0437
2098744.762,1552162.024,329.9471,503378.5079
2098970.386,1551924.305,332.5822,503392.6485
2099199.597,1552088.226,331.5845,503404.7192
2099369.09,1552369.015,332.3849,503414.7805
2099545.819,1552645.092,334.355,503424.8274
2099735.431,1552911.164,330.9011,503439.4668
2099769.175,1552959.244,249.9174,503490.9939
2105542.74,1548449.46,295.5839,565781.0158
2105356.965,1548261.427,302.4217,565791.2956
2105673.092,1548262.85,302.7855,565802.6829
2105837.127,1548111.011,301.0616,565814.6358
2105511.105,1548112.798,301.2633,565827.0072
2105200.853,1548056.875,300.9236,565838.6774
2104910.931,1548208.902,306.2422,565849.3589
2104615.821,1548143.746,310.1318,565860.4011
2104710.469,1547849.987,310.2395,565874.9319
2104923.937,1547601.207,310.0014,565889.3157
2105142.193,1547356.663,310.2642,565903.7144
2105361.061,1547112.474,309.5812,565918.0204
2105613.282,1546908.818,309.9783,565932.4614
2105919.266,1546810.37,310.1278,565946.6525
2106246.907,1546801.828,309.0513,565961.0459
2106574.803,1546799.599,309.7128,565975.4558
2106902.632,1546795.509,309.2865,565989.6973
2107230.531,1546790.037,309.2726,566003.9625
2107496.388,1546904.299,309.2646,566018.1923
2107309.693,1547098.387,308.9326,566032.4627
2106981.944,1547110.918,309.4049,566046.8271
2106654.035,1547114.981,309.5627,566061.084
2106326.565,1547125.68,309.114,566075.4533
2105998.869,1547134.323,308.5673,566089.8144
2105700.418,1547258.008,309.0944,566103.9417
2105463.593,1547484.589,308.711,566118.2662
2105229.036,1547713.759,308.9165,566132.5077
2105114.89,1548012.267,308.8104,566146.6876
2105121.018,1548340.019,309.6242,566161.0223
2105127.04,1548667.813,309.3284,566175.2803
2105130.039,1548995.751,309.2961,566189.6745
2105131.518,1549323.704,309.1867,566204.0142
2105134.221,1549651.669,309.511,566218.2278
2105371.738,1549779.884,309.8152,566231.6636
2105453.628,1549478.484,309.3691,566244.2442
2105161.566,1549382.372,308.799,566258.0644
2104833.905,1549381.945,312.4592,566272.3824
2104506.73,1549378.731,319.0564,566286.6306
2104179.201,1549381.964,323.9394,566300.8899
2103852.082,1549380.636,329.6794,566315.1362
2103525.013,1549382.023,336.4131,566329.4884
2103213.263,1549460.317,339.126,566343.7509
2102999.792,1549707.702,340.698,566358.058
2102798.044,1549966.07,338.704,566372.344
2102589.651,1550218.895,340.0662,566386.4774
2102779.716,1550426.89,339.3755,566400.8239
2103007.166,1550198.901,340.271,566415.4773
2103195.422,1549930.366,339.4119,566429.7589
2103431.303,1549719.544,338.9306,566444.1779
2103757.187,1549694.952,338.7102,566458.1425
2104083.679,1549688.176,330.9496,566472.463
2104410.853,1549686.809,325.0705,566486.82
2104737.844,1549681.352,318.5269,566501.1195
2105065.5,1549681.737,314.9536,566515.404
2105333.765,1549789.469,309.9694,566529.5054
2105111.764,1549965.454,309.2655,566541.8392
2104869.959,1549820.199,308.1548,566554.8329
2104851.899,1549493.69,309.9319,566569.2744
2104846.209,1549166.061,310.1282,566583.6157
2104835.494,1548838.379,309.7662,566597.9859
2104830.682,1548510.529,310.3309,566612.4363
2104822.344,1548182.747,309.7945,566626.6805
2104813.206,1547854.9,309.674,566641.0572
2104920.349,1547588.555,311.9673,566655.2093
2105225.294,1547699.857,308.049,566666.82
2105513.838,1547854.518,302.0961,566676.8302
2105739.051,1547972.806,271.9672,566707.7718
2108187.812,1546914.665,305.3956,573149.1649
2107986.506,1546667.85,306.3596,573159.3573
2107689.572,1546558.13,306.7012,573169.8013
2107570.435,1546839.811,308.0472,573179.7372
2107438.457,1547138.291,310.1768,573189.8523
2107255.555,1547408.492,313.0125,573199.8109
2106941.104,1547447.178,315.5574,573212.2625
2106857.625,1547142.366,314.6178,573226.5797
2106854.372,1546814.647,315.6696,573240.7457
2106848.064,1546487.132,313.1893,573255.1467
2106748.485,1546188.03,314.9102,573269.5157
2106514.648,1545958.437,313.8422,573283.8482
2106308.628,1545705.52,315.158,573298.2771
2106132.884,1545428.716,316.0942,573312.528
2105963.118,1545148.345,314.013,573326.8843
2105794.255,1544867.434,315.0672,573341.2175
2105712.683,1544578.62,315.6467,573355.2332
2106005.961,1544639.166,313.8053,573368.3856
2106271.023,1544832.219,313.8638,573381.1022
2106483.04,1544751.392,314.3267,573394.4159
2106304.244,1544478.021,314.5532,573409.0397
2106054.28,1544326.512,314.344,573423.1309
2105995.21,1544593.995,314.5788,573437.3093
2106161.134,1544876.931,314.8851,573451.6191
2106328.573,1545158.996,314.5739,573465.9242
2106492.035,1545443.309,315.9424,573480.2225
2106683.907,1545708.986,316.8669,573494.2248
2106891.68,1545962.014,314.4674,573508.8565
2107091.287,1546222.282,315.6687,573523.2526
2107142.509,1546542.852,315.6785,573537.6023
2107148.083,1546870.817,316.0943,573551.8621
2107145.966,1547197.986,315.7346,573566.163
2106854.825,1547297.244,315.8721,573580.6041
2106746.663,1547012.049,317.2449,573592.7454
2106821.645,1546697.942,318.66,573603.0209
2106959.822,1546400.74,315.8929,573617.4641
2107107.177,1546107.861,317.4803,573631.7392
2107248.944,1545812.223,317.1324,573645.9374
2107390.029,1545516.564,316.3881,573660.2816
2107359.371,1545236.324,316.1017,573674.4812
2107046.219,1545140.083,317.0118,573687.075
2106808.82,1545294.391,316.7921,573699.4489
2106774.922,1545603.567,317.2929,573711.8088
2107081.081,1545703.863,317.2385,573725.9539
2107404.694,1545756.989,319.0338,573740.2771
2107727.501,1545810.198,321.3494,573754.3961
2108051.447,1545860.51,322.7955,573768.706
2108374.686,1545915.178,325.7588,573783.052
2108698.269,1545966.911,328.1441,573797.3074
2109021.64,1546018.639,328.8663,573811.377
2109334.22,1546013.46,330.7599,573825.7778
2109289.915,1545750.55,331.5746,573840.2787
2108968.57,1545686.674,330.06,573854.8742
2108644.781,1545634.342,328.7424,573869.1481
2108321.051,1545582.919,326.3253,573883.4797
2107997.682,1545529.37,325.7072,573897.8523
2107673.378,1545482.727,321.7595,573912.2396
2107350.572,1545425.355,320.9727,573926.5207
2107027.089,1545372.668,318.6053,573940.9368
2106909.425,1545121.783,318.5083,573954.3479
2107128.144,1544958.04,316.9709,573966.6589
2107174.872,1545251.7,317.491,573980.4493
2107039.299,1545550.35,317.6631,573994.7885
2106900.557,1545847.574,317.3896,574009.1581
2106762.442,1546145.088,317.9939,574023.4346
2106749.381,1546444.006,317.5287,574037.0986
2106954.42,1546699.84,315.0125,574047.2138
2107166.554,1546949.684,310.9566,574057.204
2107376.839,1547201.266,308.4571,574067.1831
2107587.899,1547451.539,304.0836,574079.5725
2107660.992,1547501.971,236.4026,574124.2704
2110361.606,1543873.08,335.7899,579952.9342
2110639.962,1544023.087,345.6543,579963.4186
2110469.298,1544237.343,343.8486,579973.6645
2110152.29,1544288.271,344.611,579983.7677
2109878.211,1544468.113,345.8989,579993.7992
2109718.406,1544730.503,345.7411,580003.8424
2109973.404,1544884.561,345.8613,580017.9498
2110301.335,1544880.272,345.9556,580032.1945
2110629.07,1544872.329,349.0048,580046.4393
2110956.516,1544864.702,353.4537,580060.5948
2111284.256,1544852.681,354.0275,580074.9644
2111527.217,1544707.442,356.7743,580089.2929
2111316.177,1544538.244,354.7271,580103.8636
2110988.704,1544540.827,354.6714,580118.2168
2110661.523,1544548.348,353.4991,580132.6141
2110334.263,1544552.199,351.989,580146.8457
2110006.623,1544561.944,350.8838,580161.17
2109678.731,1544567.609,349.2345,580175.5364
2109350.775,1544573.235,348.6954,580189.8454
2109023.091,1544583.888,346.6144,580204.1643
2108695.163,1544588.415,345.4115,580218.603
2108367.551,1544589.603,345.1205,580232.8165
2108238.229,1544317.637,344.1207,580246.0966
2108256.91,1543997.98,344.8199,580258.535
2108568.811,1543924.496,345.5276,580270.8765
2108871.01,1543985.653,344.6903,580283.2203
2108925.766,1544306.212,342.1247,580297.5907
2108926.999,1544634.143,343.7363,580312.0608
2108935.132,1544962.012,343.196,580326.2946
2108941.514,1545289.956,343.2576,580340.6262
2108949.353,1545617.534,342.9424,580354.867
2108956.523,1545945.433,342.9805,580369.2722
2108948.804,1546271.805,343.0609,580383.4848
2108680.159,1546276.901,344.366,580398.0606
2108641.348,1545952.81,343.3428,580412.444
2108632.549,1545624.967,343.6281,580426.8413
2108622.639,1545297.114,343.1747,580441.1375
2108612.57,1544969.289,343.271,580455.4734
2108606.313,1544641.465,344.7675,580469.7159
2108595.452,1544313.792,343.7357,580483.8955
2108584.516,1543986.341,341.4631,580498.3573
2108326.46,1543852.908,343.4683,580511.6813
2108157.356,1544078.428,342.0206,580523.9598
2108342.655,1544288.961,342.6434,580536.8671
2108670.396,1544290.597,343.4805,580551.3734
2108998.156,1544284.047,343.4729,580565.45
2109325.774,1544274.893,342.823,580579.5735
2109653.528,1544270.995,343.4361,580593.9447
2109981.122,1544261.861,342.4182,580608.1386
2110308.785,1544254.864,342.337,580622.5156
2110636.599,1544250.091,342.5754,580636.9069
2110590.964,1544474.935,342.6603,580651.5676
