1375563.4355,653812.8474,321.3240
1375569.3365,653822.6888,320.9952
1375576.7058,653831.7461,320.7532
1376038.5992,653505.1203,324.1943
1376046.8618,653516.2911,323.1825
1376053.8790,653527.8273,322.8707
1376330.4000,653144.5070,325.0950
1376332.9660,653131.9930,325.9760
1376345.2420,653135.3690,326.0980
1376342.6450,653147.7040,324.8930
1376357.3180,653136.6970,326.3920
1376355.0170,653150.7140,325.1120
1376292.5440,652880.7160,348.6530
1376295.5490,652894.0200,348.1460
1376284.4200,652896.8050,347.9530
1376280.9300,652883.2250,348.0720
1376270.1340,652886.8300,347.8570
1376273.6810,652900.0390,347.5850
