1376205.3470,652910.3590,347.9440
1376206.1380,652913.6280,347.7700
1376193.7690,652912.5470,347.6170
1376194.8305,652916.1500,347.4730
1376182.9180,652915.2870,347.5850
1376183.5080,652919.0165,347.0370
1376227.8370,653119.2035,324.5830
1376227.4820,653122.3960,323.0767
1376250.2385,653124.0080,324.5695
1376250.4440,653127.1690,322.6570
1376273.5610,653130.9740,324.4760
1376272.4620,653132.8690,322.8890
1375979.8345,653451.6125,327.6540
1375994.1800,653468.3090,328.1620
1376009.2920,653483.7560,328.3160
1375519.0590,653743.4020,328.5330
1375529.6100,653760.0690,328.1680
1375539.8450,653776.4850,327.7610
