1376749.9180,652897.8670,431.5495
1376747.2800,652902.4330,432.4040
1376749.7940,652897.6690,384.6050
1376746.4950,652902.6620,385.4070
1376722.1120,652881.9405,431.7070
1376719.7800,652886.1490,432.4720
1376719.2385,652881.0750,409.0415
1376717.7960,652883.6850,408.9620
1376721.9170,652881.0107,384.6307
1376719.1755,652886.1560,385.4835
1376669.3311,652454.5901,464.9555
1376648.8727,652459.3508,465.0732
1376643.6578,652460.5641,465.2497
1376622.5691,652465.4714,465.6028
1376670.6932,652454.2925,441.6991
1376650.2747,652459.0439,441.6991
1376640.9305,652461.2184,441.7632
1376620.7664,652465.9106,441.9469
1376668.7649,652454.7609,417.8951
1376648.7843,652459.4104,418.0878
1376642.9215,652460.7746,418.3285
1376621.7791,652465.6944,418.4424
1375986.2367,653056.1758,421.8333
1375987.2301,653054.3549,391.5689
1375950.1546,653118.9896,391.7388
1375932.3956,653152.8720,422.4566
1375931.0878,653154.8756,391.8943
1375966.7049,653089.3848,392.1101
