601913.15,972064.61,227021.7558,0.0043,0.0000,-0.0182,0.4025,-0.7722,17.9383,354.033,255000
601913.14,972064.59,227046.7313,0.0083,-0.0062,-0.0192,0.3970,-0.7656,17.9391,353.926,260000
601913.15,972064.61,227071.7068,-0.0137,0.0162,-0.0231,0.4018,-0.8069,17.9367,353.933,265000
601913.11,972064.58,227096.6823,-0.0015,-0.0165,0.0059,0.4497,-0.6402,17.9307,353.892,270000
601913.14,972064.61,227121.6578,0.0238,0.0228,-0.0437,0.4072,-0.7581,17.9275,354.013,275000
601913.04,972064.59,227146.6333,0.0187,0.0027,0.0042,0.4510,-0.7992,17.9160,353.978,280000
601913.12,972064.61,227171.6088,-0.0050,-0.0013,-0.0041,0.4427,-0.7359,17.9084,353.986,285000
601931.84,972132.93,227196.5843,0.3378,1.7003,-0.0564,-1.9823,2.8196,25.0173,357.869,290000
601949.60,972183.10,227221.5598,0.1378,0.1363,0.1670,-1.1933,2.6044,57.0324,361.166,295000
601954.16,972202.05,227246.5353,-0.0189,-0.1033,0.0469,-2.2815,0.4419,67.8481,361.016,300000
602440.63,972206.98,227271.5108,15.2608,-7.1956,1.3608,0.0824,-5.9015,115.0321,379.083,305000
603647.84,970483.26,227296.4863,4.0446,-32.8387,1.7817,4.3029,-0.7743,175.7379,535.27,310000
603503.92,967623.48,227321.4618,-10.7735,-32.4419,3.2946,6.3039,0.4085,196.5352,742.236,315000
602224.32,965160.13,227346.4374,-16.3374,-29.4040,2.1493,-1.1771,-0.9766,207.8083,979.55,320000
600894.79,962624.63,227371.4129,-16.7967,-32.0094,1.0269,3.1260,-1.0295,208.2779,1092.403,325000
599387.82,960025.90,227396.3884,-17.2869,-31.9967,0.0029,-1.7248,-0.0182,208.6056,1113.031,330000
598076.97,957410.74,227421.3639,-17.2091,-30.9847,-1.9251,0.1938,-0.7655,208.4581,1089.126,335000
596461.30,954973.59,227446.3395,-20.4861,-29.3505,-0.7587,0.7004,-0.2579,216.1505,989.407,340000
594843.38,952670.78,227471.3151,-17.6507,-27.8256,0.2758,-1.6445,-0.6376,217.9677,924.38,345000
593350.63,950369.30,227496.2906,-18.1987,-28.3618,-1.4225,-1.6671,-0.5974,220.2937,949.839,350000
591847.19,948145.11,227521.2662,-18.5145,-25.1165,1.1133,-0.6567,1.0623,219.8508,907.704,355000
590385.76,946228.03,227546.2418,-18.6096,-23.9889,-0.9414,-0.0473,-0.8744,219.0246,967.842,360000
588571.18,945801.93,227571.2173,-8.1857,26.0913,1.2665,22.2538,-1.2564,340.6249,976.703,365000
589759.61,945803.27,227596.1929,7.7533,-26.6896,0.1858,0.1086,-1.4387,168.1276,951.881,370000
591452.48,945661.80,227621.1685,8.5702,27.4363,-0.2633,-19.6169,2.1691,18.8891,912.433,375000
589976.81,945995.64,227646.1441,-17.3449,-22.6989,1.3945,-5.6209,0.4397,220.9780,886.032,380000
588468.30,944151.04,227671.1197,-20.0903,-22.0773,0.5724,-1.8857,-0.7587,228.8198,950.494,385000
586576.27,942412.38,227696.0953,-25.5421,-20.8285,0.8088,-1.4151,-1.5586,236.5208,945.547,390000
584548.58,940690.51,227721.0709,-23.4080,-19.2987,0.1204,-3.1122,1.0969,233.1184,948.297,395000
582798.32,939159.96,227746.0465,-21.4567,-17.9956,0.0500,-1.1194,0.2569,233.4909,931.242,400000
581061.41,937715.76,227771.0222,-21.1318,-17.6247,-0.9307,-0.9234,0.3651,233.8114,900.667,405000
579320.54,936380.21,227795.9978,-22.1617,-14.5614,0.2383,-1.4244,-0.2485,235.1808,916.268,410000
577661.10,935068.86,227820.9734,-19.7442,-16.1337,-0.4780,-1.7340,0.5506,233.7589,949.184,415000
576110.94,933812.79,227845.9490,-17.9172,-15.3145,0.1239,-1.7812,0.6103,237.8440,909.701,420000
574655.85,932449.00,227870.9246,-17.2110,-20.6830,1.5595,-5.8640,0.0325,226.2230,973.212,425000
573558.76,930337.92,227895.9002,-18.6378,-21.4173,1.0750,16.0150,0.3916,231.1317,1033.759,430000
572455.35,931302.86,227920.8758,5.4563,26.7176,-1.0919,3.8039,-2.6305,20.2371,1019.286,435000
573897.55,932770.43,227945.8514,26.1665,9.5108,-0.7911,0.0448,-0.9837,77.4615,947.579,440000
575709.05,933961.30,227970.8270,20.6621,16.1969,-1.1090,0.2513,-0.5063,55.5318,960.965,445000
577585.92,935568.42,227995.8026,19.3169,26.1423,2.5523,-15.2380,0.8748,36.2071,907.178,450000
576946.20,937817.28,228020.7782,-30.0503,11.8125,-1.7686,-16.0248,-1.0486,291.9746,949.296,455000
575075.64,936716.64,228045.7539,6.1148,-24.8636,-0.1856,-15.4432,4.9663,170.8919,865.483,460000
575935.74,934854.02,228070.7295,7.8806,-25.2231,-2.8349,0.8186,-2.0269,175.4113,841.523,465000
576568.50,932823.74,228095.7051,6.4485,-24.3512,4.2465,-3.1781,0.3555,172.7936,994.149,470000
578185.99,931391.66,228120.6807,33.8803,7.0182,0.1763,-19.3590,-1.4345,82.9455,1192.483,475000
579258.97,933897.18,228145.6564,-9.5289,38.2159,-1.1954,-6.6399,-2.6158,343.8532,1130.182,480000
578460.67,936932.72,228170.6319,-7.6839,34.7564,-1.5123,-10.1063,1.6189,347.7923,1021.254,485000
576996.40,937415.03,228195.6076,-4.0469,-24.5601,-0.5915,-14.2825,2.6347,199.8544,887.547,490000
577066.16,935473.22,228220.5832,-1.2855,-23.1163,1.2587,3.0604,0.5874,192.9248,883.221,495000
576691.09,933506.57,228245.5588,-1.5607,-26.5132,0.4379,-2.5267,0.2982,190.7574,915.171,500000
576440.57,931411.79,228270.5344,-3.6390,-26.2739,1.2593,-2.2033,0.1779,188.5220,1031.812,505000
576270.24,929251.72,228295.5100,-3.7269,-26.4038,-0.2450,-0.9729,-0.6299,194.5900,1025.598,510000
576070.82,927018.36,228320.4856,-2.4143,-25.1573,1.0925,-0.0244,2.1065,189.9432,1100.095,515000
575881.32,924997.44,228345.4612,-1.3889,-26.2677,0.6716,-0.6503,0.4920,190.4639,1185.82,520000
