Pole Point #,Pole X,Pole Y,Nearest X,Nearest Y,Distance,Time
934160.6997,576311.3581,934160.6997,576426.71,934143.73,116.59344557779637,228697.762
934185.3221,576288.1816,934185.3221,576429.77,934164.37,143.13023967342474,228697.9618
934047.8185,576146.5725,934047.8185,576167.77,934055.37,22.502425613687446,228080.2502
934026.9803,576169.3256,934026.9803,576177.0,934029.76,8.16230037734644,228080.5599
933883.349,576015.4146,933883.349,576091.06,933795.62,115.83869812016414,227846.2887
933913.4618,576003.0328,933913.4618,576099.53,933802.95,146.71253370826147,227846.1438
933588.4097,576123.2096,933588.4097,576006.86,933722.25,177.342762255049,227847.7322
933373.9814,576200.1019,933373.9814,576316.55,933358.9,117.42064818241955,228689.9046
933159.9847,576278.0425,933159.9847,576291.69,933158.5,13.728022084010217,228687.7268
932956.213,576351.2456,932956.213,576268.8,932965.84,83.00575936858743,228685.6188
932752.6918,576425.312,932752.6918,576576.44,932794.2,156.7246089521565,228096.0747
932673.5972,576436.1731,932673.5972,576281.03,932614.53,166.00697453251124,228837.1909
932525.7682,576421.1881,932525.7682,576329.17,932490.19,98.65667257137265,228838.8193
932289.1497,576397.2783,932289.1497,576406.97,932293.2,10.503998237784261,228841.3518
932108.2641,576379.3337,932108.2641,576466.26,932142.71,93.50241525492332,228843.2599
931674.5822,576334.825,931674.5822,576475.14,931652.72,142.0079399676506,228267.7271
931459.4901,576314.777,931459.4901,576444.73,931442.36,131.07716252271786,228270.1797
931238.2181,576291.5677,931238.2181,576417.79,931224.67,126.94731202710132,228272.7022
931005.343,576267.0212,931005.343,576399.91,930997.99,133.09207254551094,228275.3147
931031.2132,576173.3425,931031.2132,576096.88,931040.11,76.97835381776711,228664.4845
930882.1012,576183.2316,930882.1012,576079.97,930893.66,103.9065151567388,228662.8561
930847.3649,576253.2777,930847.3649,576395.84,930846.22,142.56689720021777,228277.063
930683.3481,576133.7704,930683.3481,576058.27,930691.04,75.89120980570999,228660.5883
930572.3699,576208.8814,930572.3699,576047.82,930590.19,162.04422400680681,228659.4544
930497.5134,576151.0907,930497.5134,576039.18,930509.43,112.54336999586238,228658.5453
930502.0293,576218.8903,930502.0293,576397.51,930501.08,178.6222225776911,228280.9942
930254.781,576193.2202,930254.781,576015.14,930272.64,178.97346594685598,228655.8829
930020.6795,576168.3797,930020.6795,575989.56,930040.45,179.90930431285864,228653.2754
929790.5345,576145.3589,929790.5345,575961.32,929814.46,185.58757033669167,228650.7329
929567.6708,576121.9819,929567.6708,575932.56,929593.53,191.1788545426435,228648.2304
929341.9382,576099.4521,929341.9382,576279.26,929316.93,181.53867623636387,228294.7557
929117.6214,576075.4504,929117.6214,576248.96,929094.65,175.02361700671446,228297.3182
928885.3403,576053.3921,928885.3403,576220.84,928866.32,168.5246896643752,228299.9307
928664.7689,576030.8329,928664.7689,576196.09,928646.47,166.26713097181508,228302.3982
928435.4501,576008.2955,928435.4501,576175.88,928422.94,168.05078768711817,228304.8559
928207.8035,575987.0913,928207.8035,576159.91,928196.58,173.18276479477717,228307.2985
927986.697,575963.6714,927986.697,576148.18,927976.65,184.7819409005714,228309.6761
927779.7171,575943.0205,927779.7171,575765.56,927787.79,177.64402825492053,228628.3148
927554.1587,575919.0925,927554.1587,575752.17,927567.14,167.42650673037093,228625.9022
927331.3491,575896.5047,927331.3491,575732.04,927347.51,165.25680692456905,228623.4746
927075.1562,575870.9234,927075.1562,575701.78,927097.25,170.58026193549472,228620.6723
926855.2449,575849.3173,926855.2449,575673.27,926877.66,177.46855649745677,228618.1847
926636.8353,575827.367,926636.8353,575647.41,926653.38,180.7159344027698,228615.6372
926405.0777,575803.1252,926405.0777,575627.78,926413.6,175.55218244249411,228612.9299
926174.6922,575780.5197,926174.6922,575619.57,926178.23,160.98857710697578,228610.2974
925937.1063,575756.9738,925937.1063,575613.97,925941.33,143.06616111487753,228607.665
925713.456,575734.411,925713.456,575604.2,925723.84,130.62439273352382,228605.2324
925502.5373,575712.5133,925502.5373,575583.61,925517.19,129.73342810617746,228602.8747
925290.3305,575691.1871,925290.3305,575557.04,925308.66,135.39355600856575,228600.4521
925071.9134,575668.1521,925071.9134,575529.43,925088.25,139.68072711703192,228597.8996
924950.7969,575658.3886,924950.7969,575516.92,924963.54,142.04137208414073,228596.4759
924737.764,575636.2284,924737.764,575497.71,924751.12,139.1608058131927,228594.0883
924570.959,575618.7274,924570.959,575481.12,924584.5,138.27203338258013,228592.2301
924345.4071,575595.8573,924345.4071,575457.66,924359.27,138.89086983564385,228589.7026
924106.3464,575572.3796,924106.3464,575435.89,924116.03,136.83268256199636,228586.9353
923879.0789,575548.6249,923879.0789,575418.53,923890.71,130.6138028434461,228584.3228
923638.9981,575524.3872,923638.9981,575395.88,923651.52,129.11583338789012,228581.5305
923450.6051,575505.3311,923450.6051,575377.37,923462.36,128.4998863314967,228579.3477
923224.7021,575483.3988,923224.7021,575354.55,923239.05,129.64519079329858,228576.8301
922999.5275,575460.4064,922999.5275,575326.85,923020.07,135.1270005854107,228574.4325
922776.9749,575438.7888,922776.9749,575288.17,922809.59,154.109596266512,228572.1547
922550.2427,575415.9074,922550.2427,575238.22,922595.52,183.36533482115897,228569.797
922416.1039,575400.7853,922416.1039,575205.35,922465.67,201.6228031630105,228568.3234
922226.6841,575355.6187,922226.6841,575297.23,922126.04,116.35495327868361,229267.1359
922037.332,575309.9882,922037.332,575348.85,922093.28,68.12061511197398,229266.4166
921841.4427,575262.0268,921841.4427,575182.96,921734.28,133.17433361399534,229577.2478
921664.5592,575217.0795,921664.5592,575238.56,921691.61,34.54211430834826,229576.6084
921435.6824,575162.1818,921435.6824,574984.24,921469.58,181.14174414806874,228556.6598
921217.2481,575110.5977,921217.2481,574943.65,921244.93,169.22713175762004,228554.1673
921018.8426,575062.8393,921018.8426,574910.1,921046.39,155.20358569072093,228552.0194
920820.9494,575012.6401,920820.9494,574871.82,920850.45,143.87698205191865,228549.9264
920624.7474,574965.6282,920624.7474,574828.61,920656.39,140.62446894482804,228547.8734
920432.8395,574918.2141,920432.8395,574782.95,920467.73,139.69153066333882,228545.8804
920101.3581,574834.6139,920101.3581,574938.73,920032.99,124.55665127487893,229242.7947
919943.5954,574808.628,919943.5954,574857.4,919910.43,58.98009614400215,229241.386
919738.9395,574774.7204,919738.9395,574750.74,919755.4,29.086210554341545,229239.5628
919541.8521,574742.0388,919541.8521,574648.1,919608.71,115.30167794894939,229237.8095
919305.1181,574702.2067,919305.1181,574838.82,919213.04,164.74698855055797,229004.008
919221.1304,574658.1337,919221.1304,574783.85,919132.97,153.5475307969874,229005.3167
919140.072,574595.9228,919140.072,574721.54,919046.72,156.5064753928006,229006.7553
918979.3921,574479.5509,918979.3921,574391.74,919001.65,90.5879035590606,228530.4754
918814.5998,574358.739,918814.5998,574345.84,918817.9,13.314485383962287,228528.4624
918655.9208,574242.663,918655.9208,574296.14,918640.58,55.633889614585065,228526.4893
918497.3761,574125.7884,918497.3761,574082.21,918400.86,105.89822711344802,229534.5895
918336.3054,574009.2065,918336.3054,574046.94,918416.97,89.05388658228739,229534.1749
918154.0481,573874.0969,918154.0481,573996.54,918074.87,145.81318272786984,229023.0344
917995.2534,573753.232,917995.2534,573901.26,917915.64,168.07909520097843,229025.472
917786.4402,573660.2848,917786.4402,573533.38,917814.51,129.97208136783763,229334.54
917612.3493,573618.0337,917612.3493,573493.24,917642.12,128.29560451624678,229336.8877
917414.7743,573568.7632,917414.7743,573446.81,917442.84,125.14098651809798,229339.5052
917220.9935,573521.7992,917220.9935,573406.07,917242.4,117.69233609248137,229342.0727
917106.3896,573494.14,917106.3896,573384.52,917125.98,111.35676078334197,229343.5462
916983.547,573490.4799,916983.547,573363.76,917003.63,128.30144171058964,229345.0847
916775.4439,573481.9451,916775.4439,573332.25,916795.38,151.01679061357882,229347.6972
916703.6984,573500.5042,916703.6984,573364.3,916651.16,145.98584716394313,229198.8576
916575.7763,573570.822,916575.7763,573420.22,916513.52,162.9626009049703,229197.1742
916450.1738,573639.7048,916450.1738,573763.28,916485.6,128.55289067733443,229045.1178
916261.9545,573742.174,916261.9545,573835.31,916309.79,104.70219461054701,229047.6204
916098.2259,573830.0649,916098.2259,573914.91,916099.39,84.85308552330943,228496.159
